,,,MW (TYNDP2024 Ref grid 2030),km
Zone1,Zone2,Tech,links_cap_exist_MW,links_dist
AL,GR,HVAC_OHL,600,340
AL,ME,HVAC_OHL,400,195
AL,MK,HVAC_OHL,500,147
AL,RS,HVAC_OHL,250,348
AT,CH,HVAC_OHL,1200,456
AT,CZ,HVAC_OHL,900,255
AT,DE,HVAC_OHL,7500,471
AT,HU,HVAC_OHL,800,401
AT,IT,HVAC_OHL,875,562
AT,SI,HVAC_OHL,950,172
AT,SK,HVAC_OHL,0,417
BA,HR,HVAC_OHL,900,
BA,ME,HVAC_OHL,500,
BA,RS,HVAC_OHL,1680,
BE,DE,HVAC_OHL,1000,404
BE,FR,HVAC_OHL,4300,484
BE,LU,HVAC_OHL,680,140
BE,NL,HVAC_OHL,3400,191
BE,UK,HVDC_MarineIC,1000,632
BG,GR,HVAC_OHL,1700,458
BG,MK,HVAC_OHL,400,321
BG,RO,HVAC_OHL,2190,342
BG,RS,HVAC_OHL,380,391
CH,DE,HVAC_OHL,4400,498
CH,FR,HVAC_OHL,4500,433
CH,IT,HVAC_OHL,5772,552
CY,GR,HVDC_MarineIC,1000,1003
CZ,DE,HVAC_OHL,2600,382
CZ,PL,HVAC_OHL,1400,390
CZ,SK,HVAC_OHL,1800,322
DE,DK,HVAC_OHL,4500,545
DE,FR,HVAC_OHL,4800,762
DE,LU,HVAC_OHL,3700,336
DE,NL,HVAC_OHL,5000,358
DE,NO,HVDC_MarineIC,1400,1442
DE,PL,HVAC_OHL,5000,638
DE,SE,HVDC_MarineIC,1315,1308
DE,UK,HVDC_MarineIC,1400,950
DK,NL,HVAC_OHL,700,505
DK,NO,HVAC_OHL,1632,901
DK,PL,HVDC_MarineIC,0,747
DK,SE,HVAC_OHL,2415,796
DK,UK,HVDC_MarineIC,1400,848
EE,FI,HVAC_OHL,1016,620
EE,LV,HVAC_OHL,950,205
ES,FR,HVAC_OHL,5000,837
ES,PT,HVAC_OHL,4200,389
FI,NO,HVAC_OHL,0,675
FI,SE,HVAC_OHL,3200,533
FR,IE,HVDC_MarineIC,700,1069
FR,IT,HVAC_OHL,4635,873
FR,LU,HVAC_OHL,380,446
FR,UK,HVDC_MarineIC,5600,921
GR,IT,HVDC_MarineIC,500,996
GR,MK,HVAC_OHL,1100,305
HR,HU,HVAC_OHL,1000,332
HR,RS,HVAC_OHL,400,361
HR,SI,HVAC_OHL,1500,172
HU,RO,HVAC_OHL,1617,453
HU,RS,HVAC_OHL,700,345
HU,SI,HVAC_OHL,1200,370
HU,SK,HVAC_OHL,2513,172
IE,UK,HVDC_MarineIC,3000,368
IS,UK,HVDC_MarineIC,0,
IT,ME,HVDC_MarineIC,600,578
IT,MT,HVDC_MarineIC,225,773
IT,SI,HVAC_OHL,1153,432
LT,LV,HVAC_OHL,950,182
LT,PL,HVAC_OHL,700,465
LT,SE,HVDC_MarineIC,700,900
LV,SE,HVDC_MarineIC,0,786
ME,RS,HVAC_OHL,1140,204
MK,RS,HVAC_OHL,480,299
NL,NO,HVDC_MarineIC,700,1361
NL,UK,HVDC_MarineIC,1000,592
NO,SE,HVAC_OHL,4145,269
NO,UK,HVDC_MarineIC,1400,1401
PL,SE,HVDC_MarineIC,600,1159
PL,SK,HVAC_OHL,1599,378
RO,RS,HVAC_OHL,1984,377
