"TYNDP 2024 - General information on transmission projects",,,,,,,,,,,,,,,,,,"Needs addressed by the project",,,,"Expected transfer capacity increase",,,"CBA"
"Project ID","Project Name","Description of the project","Promoters","Country","National development plan(s)","Commissioning Year estimated by the promoter","Status ID
1 : Under Consideration,
2 : In Planning but not permitting,
3 : In permitting,
4 : Under Construction","Is the project cross-border?","Is the project internal?","Type of project - Is it an upgrade of existing infrastructure?","Is the project on the 5th PCI list?","PCI number","Reason for investment clustering","Inclusion in previous TYNDPs","Is the project in the 2030 reference grid?","Is the project in the 2035 reference grid?","Where can one find more information on the project? (ex: project website url)","Needs addressed by the project","Explanation by the promoter on how the project addresses the need","Relevant system needs study results in 2030
(Border - Capacity Increase)","Relevant system needs study results in 2040 (Border or country - Capacity Increase - Storage flexibility)","Border","Transfer capacity increase A-B (MW)","Transfer capacity increase B-A (MW)","Comments on CBA results by the project promoter"
1,"RES in north of Portugal","The main objective of this project consists in introducing the network reinforcements that are needed to allow the connection of new RES generation (hydro with pumping and also wind) that is foreseen in the north of Portugal, where the RES potential is high. The project includes a set of new 400 kV OHL that will form a new axis between V. Minho-R. Pena-Feira (PCI 2.16.3).","Rede Elétrica Nacional","PT","NDP 1, Portugal, Draft NDP 2022-2031 (2021); Main report, Page 13 (https://www.erse.pt/media/nx3ittiy/pdirt-2022-2031-mar%C3%A7o-2021-relat%C3%B3rio-final.pdf); Apendix 11, page 5 (https://www.erse.pt/media/kdgjy4jl/pdirt-2022-2031-mar%C3%A7o-2021-anexos.pdf)","2025",4,"False","True","New","True","2.16.3","Clustering: This project includes a set of new 400 kV OHL that will form a new axis between V. Minho-R. Pena-Feira, ensuring the network capacity to evacuate the new amounts of generation, taking also into consideration the n-1 security criteria. The new substations of R. Pena is also considered in this axis for direct connection of generation.","TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","Portuguese National Development Plan:
https://www.erse.pt/media/nx3ittiy/pdirt-2022-2031-mar%C3%A7o-2021-relat%C3%B3rio-final.pdf; https://www.erse.pt/media/kdgjy4jl/pdirt-2022-2031-mar%C3%A7o-2021-anexos.pdf

Project website
https://www.ren.pt/en-gb/activity/main-projects/res-in-northern-portugal-pic-2163-on-the-2021-pic-list-of-the-ce-5th-list-tyndp-2020-project-1-1
https://www.ren.pt/en-gb/activity/main-projects/linha-dupla-ribeira-de-pena-vieira-do-minho-a-400-kv-1

PCI page – link to EC platform:
https://ec.europa.eu/energy/en/topics/infrastructure/projects-common-interest","Infrastructure to address system adequacy deficiencies

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","The integration of Hydro power plants with pumping capabilities (included in this project) are necessary in order to comply with national adequacy standards.

Storage facilities such as pumped storage and hydro storage schemes with peak generation are one of the solutions to cope with high power ramps

Project for integration of Hydro power plants with pumping

",,,"internalPT00","1400","1400",
4,"Interconnection Portugal-Spain","In order to reach a complete operational Iberian Electricity Market (MIBEL), and strengthen the Internal Energy Market (IEM), the increase of the interconnection between Spain and Portugal is needed. A new OHL 400kV interconnection between Fontefría (Spain) and Ponte de Lima (Portugal). Internal reinforcements complement the cross border section, such as the axis in Spain between Fontefría and Beariz, in order to be able to connect the crossborder project to the existing network, and in Portugal between Ponte de Lima (previously Viana do Castelo) and Vila Nova de Famalicão (previously Vila doConde). This project was included in all the PCI list since 2013 (PCI 2.17).","REN and Red Eléctrica","ES ;PT","Spanish NDP, "" Plan de desarrollo de la red de transporte de energia eléctrica. Periodo 2021-2026"" , Project Label INT_ESP-POR  and Project Sheet in Annex I Page 133 (Main Report in https://www.planificacionelectrica.es/sites/webplani/files/2022-04/REE_Plan_Desarrollo.pdf and interactive project map https://www.planificacionelectrica.es/proyectos)  & Portuguese Draft NDP 2022-2031 (2021); Main report, Page 13 (https://www.erse.pt/media/nx3ittiy/pdirt-2022-2031-mar%C3%A7o-2021-relat%C3%B3rio-final.pdf); Apendix 11, page 5 (https://www.erse.pt/media/kdgjy4jl/pdirt-2022-2031-mar%C3%A7o-2021-anexos.pdf)","2025",4,"True","False","New","True","1.1","Clustering: the project consists of a set of investments in the same transmission corridor, based on a 400 kV OHL axis linking the substations of Beariz and Fontefría, in Spain, with P. Lima-V. N. Famalicão, in Portugal. These reinforcements are all needed (as they are in series) to achieve the main objectives of the project: reinforcement of the interconnection capacity between Portugal and Spain having in mind the MIBEL targets agreed by the Portuguese and Spanish governments and also to allow Portugal to achieve the 10% interconnection ratio defined by the EC, both contributing for the IEM.","TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","Project website
http://www.ree.es/es/actividades/gestor-de-la-red-y-transportista/proyectos-de-interes-comun-europeos-pic ;
https://www.ren.pt/en-gb/activity/main-projects/portugal-spain-interconnection-pci-217-on-ec-s-2021-pci-list-5th-list-tyndp-2020-project-4
      
PCI page – link to EC platform
https://ec.europa.eu/energy/en/topics/infrastructure/projects-common-interest

Other links:
Spanish National Development Plan:
https://www.planificacionelectrica.es/sites/webplani/files/2022-04/REE_Plan_Desarrollo.pdf
and its interactive project map platform: https://www.planificacionelectrica.es/proyectos

Portuguese National Development Plan:
https://www.erse.pt/media/nx3ittiy/pdirt-2022-2031-mar%C3%A7o-2021-relat%C3%B3rio-final.pdf; https://www.erse.pt/media/kdgjy4jl/pdirt-2022-2031-mar%C3%A7o-2021-anexos.pdf

Inter-Governmental agreement (Madrid and Lisbon Declarations) 
https://ec.europa.eu/energy/sites/ener/files/documents/Madrid%20declaration.pdf ; https://ec.europa.eu/info/sites/info/files/lisbon_declaration_energyinterconnections_final.pdf


Constitution of the High Level Group on Interconnections for South West Europe  
The High Level Group is responsible to prepare a plan to implement the Madrid Declaration and ensure regular monitoring of progress of the projects and provide adequate technical assistance to the Member states. The group will deal with both gas and electricity infrastructure.
http://europa.eu/rapid/press-release_IP-15-5187_en.htm

XXII Portuguese-Spanish Summit (main conclusions)
Main conclusions from the XXII Portuguese-Spanish summit where both governments agreed to continue working on the definition and routes for two new interconnection in order to reach an interconnection capacity of 3000 MW by 2010 between both countries.
https://www.madrid.embaixadaportugal.mne.pt/images/Declara%C3%A7%C3%A3o_XXII_Cimeira_Luso-Espanhola.pdf","Infrastructure to tackle a Need identified by one of the European ITEG indicators referring to the 15% interconnection target for 2030:
1. Reduce the price differential between EU countries to below 2EUR/MWh.
2. Contribute to pushing ratio between nominal transmission capacity and installed RES capacity past 30%.
3. Contribute to pushing ratio between nominal transmission capacity and peak load past 30%.

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

Infrastructure and/or market design to provide balancing flexibility (e.g. international pooling / sharing of reserves, coordinated development of reserve capacity)

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","IoSN report shows that the yearly average marginal price difference is higher than the 2€/MWh defined by Interconnection Target Expert Group as threshold for developing new interconnections. In addition, Spanish interconnectors nominal transmission capacity is below 30% of the RES capacity.

The increase of interconnection capacity will be essential to cope with the residual load ramps challenge. The increase of interconnection capacity between countries will allow to exchange the power flows from flexibility sources.

New interconnections with cross border impact can enable the increase of exchange of balancing energy (Welfare savings through exchanging balancing energy and trough imbalance netting). Balancing energy refers to products such as Replacement Reserve (RR), manual and automatic Frequency Regulation Reserve (FRR).

TYNDP shows a reduction of RES spillage considering the increase of interconnection capacity.

",,,"ES00-PT00","1500","800",
16,"Biscay Gulf","The project consists of  370 km HVDC-VSC link (2 bipoles of 1000 MW each) mainly subsea in the Biscay Gulf, between Gatica (Basque Country, ES) and Cubnezais (Aquitaine, FR). Included in the Madrid Declaration, this project aims at improving the interconnection ES-FR. This project was included in all the PCI list since 2013 (PCI 2.7)","Red Eléctrica, Rte","ES ;FR","Spanish NDP ""Plan de Desarrollo de la Red de Transporte de Energía Eléctrica. Período 2021-2026"", Project Label INT_ESP-FRA_1: Interconexión España-Francia por el Golfo de Vizcaya pg276 https://www.planificacionelectrica.es/sites/webplani/files/2022-06/REE_Plan_Desarrollo.pdf, page 144 and Project Sheet - French NDP, SDDR (Schéma Décennal de Développement du Réseau -Ten Year Network Development Scheme), France, 2019, project n°476, page 441, https://www.rte-france.com/fr/article/evolution-du-reseau-electrique-francais-l-horizon-2035","2028",4,"True","False","New","True","1.2","This project has interdependence with the internal projects P378 and P379 that reinforce the Gatica area in Spain. These internal reinforcements should be commissioned together with the Biscay Gulf. Although the clustering of all projects would have sense, it was not possible due to the CBA methodology clustering rules. A global profitability would have sense considering the 3 projects together.","TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","- PCI page – link to EC platform: http://ec.europa.eu/energy/infrastructure/transparency_platform/map-viewer/main.html
- Other links
    Spanish National Development Plan: https://www.planificacionelectrica.es/sites/webplani/files/2022-06/REE_Plan_Desarrollo.pdf
 and its project sheet platform: https://www.planificacionelectrica.es/proyectos
    - French National Development Planhttp://www.rte-france.com/fr/article/schema-decennal-de-developpement-de-reseau
   - Inter-Governmental agreement (Madrid and Lisbon Declarations): https://ec.europa.eu/energy/sites/ener/files/documents/Madrid%20declaration.pdf, https://ec.europa.eu/info/sites/info/files/lisbon_declaration_energyinterconnections_final.pdf
    - Constitution of the High Level Group on Interconnections for South West Europe: http://europa.eu/rapid/press-release_IP-15-5187_en.htm","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to tackle a Need identified by one of the European ITEG indicators referring to the 15% interconnection target for 2030:
1. Reduce the price differential between EU countries to below 2EUR/MWh.
2. Contribute to pushing ratio between nominal transmission capacity and installed RES capacity past 30%.
3. Contribute to pushing ratio between nominal transmission capacity and peak load past 30%.

Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","The increase of interconnection capacity will be essential to cope with the residual load ramps challenge. The increase of interconnection capacity between countries will allow to exchange the power flows from flexibility sources.

On the French-Spanish border, the yearly average marginal price difference is higher than the 2€/MWh defined by Interconnection Target Expert Group as threshold for developing new interconnections. In addition, Spanish interconnectors nominal transmission capacity is below 30% of the national peak load and RES capacity.

By increasing interconnection capacity on ES-FR border, the project contributes to enhance flow distribution and RES integration, and to increase exchanges between France and the Iberian Peninsula.

TYNDP shows a reduction of RES spillage considering the increase of interconnection capacity in ES-FR border.

",,,"ES00-FR00","2200","2200",
28,"Italy-Montenegro","The Italy-Montenegro interconnection project foresees a new HVDC subsea cable between the DC Converter Stations of Villanova (Italy) and Lastva (Montenegro). The realization of the second pole of the interconnection will increase the transmission capacity from 600 MW to 1200 MW and is strictly correlated with the Transbalkan Corridor (project 227) and the Mid Continental East Corridor (project 144). The Project will provide greater integration of the Italian electricity market with the South-Eastern Europe (SEE) energy systems, support the energy transition towards greater integration of renewable energy sources and promote the exchange of renewable energy.","Terna, CGES","IT ;ME","Piano di Sviluppo 2023 – Analisi costi-benefici del secondo polo dell’interconnessione HVDC Italia – Montenegro, Italy, 2023, https://www.arera.it/allegati/operatori/pds/23/Analisi%20costi%20benefici%20e%20approfondimenti%20del%20collegamento%20Italia%20-%20Montenegro.pdf","2027",4,"True","False","New","False",,,"TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","True",,"Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Infrastructure to address system adequacy deficiencies

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","This project contributes to lowering the price differentials between Italian market zones and Montenegro

This project will help to solve important congestions among Italian transmission grid

This project will contribute to reduce system adequacy deficiencies by increasing transmission capacity

This project will improve the integration of italian RES generation

","Italy - Montenegro - 1100
","Italy - Montenegro - 600 - 
Italy -  - 1000 - 5000
","ITCS-ME00","600","600",
29,"Italy-Tunisia","The project consists of a new HVDC submarine interconnection between Tunisia (Mlaabi - Cape Bon Peninsula) and Sicily (Partanna) with a rated power of 600 MW. The realization of the project is supported by the Italian and Tunisian Governments to increase the interconnection capacity of the Euro-Mediterranean system. The Project will strengthen and further support the renewable energy projects in both involved regions, optimise the use of energy production sources, enable the share of balancing resources, improve the security of supply and increase the operational flexibility of both electricity systems. Given the strategic importance of the Project in 2017, it was acknowledged as a pivotal cross-border infrastructure project for the EU and designated as a Project of Common Interest (PCI) by the European Commission. Furthermore, in 2022, the project secured funding exceeding 300 M€ from the EU Connecting Europe Facility (CEF).","Terna, STEG","IT ;TN","Piano di Sviluppo 2023 – Avanzamento Piani di Sviluppo Precedenti – Avanzamento Centro Sud, Italy, 2021, ID: 601-I, Pag. 41, https://www.terna.it/en/electric-system/grid/national-electricity-transmission-grid-development-plan","2028",4,"True","False","New","True","1.19",,"TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","Link to the official site of the project:
https://elmedproject.com/it/","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to address system adequacy deficiencies

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","This project contributes to lowering the price differentials between Italian and Tunisia market zones

This project will contribute to reduce system adequacy deficiencies by increasing transmission capacity

This project will improve the integration of italian RES generation

","Italy - Tunisia - 600
","Italy - Tunisia - 600 - 
Italy -  - 1000 - 5000
","ITSI-TN00","600","600","It is worth to point out that the comparison between the benefits and the costs makes sense only when they have the same perimeter.  Therefore, European benefits should not be compared to the overall costs (European and Non European)."
33,"Central Northern Italy","The project consists of the strengthening of interconnection between the northern and the central part of Italy. It will involve the upgrading of the existing 220 kV over-head line to 400 kV between Colunga and Calenzano substations as well as the removal of limitations on the existing 220 kV network in Central Italy.","Terna SpA","IT","Piano di Sviluppo 2023 – Avanzamento Piani di Sviluppo Precedenti – Avanzamento Nord Est, pag. 146, ID: 302-P and 432-P, https://download.terna.it/terna/Terna_PdS_2023_Avanzamento_Piani_Sviluppo_Precedenti_Avanzamento_Nord_Est_8db254a9ec58dd8.pdf","2026",4,"False","True","Upgrade","False",,"The two investments will closely contribute to reduce congestions and guarantee a major market integration between Italy-North and Italy Center","TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","""Link to the last release of the Italian National Development Plan
http://www.terna.it/en-gb/sistemaelettrico/pianodisviluppodellarete.aspx""","Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

","The new line will allow congestion reduction on the North Center-Northern border, in order to transport the foreign import to the local loads and to integrate the southern renewable production.

In case of failure of the OHL along the Adriatic or Thyrrenic coast the upgraded lines will improve transient stability.

",,,"ITCN-ITN1
ITCN-ITCS","400
150","400
150",
35,"CZ Southwest-east corridor","A corridor of internal 400 kV overhead lines inside the Czech Republic connecting existing 420 kV substations between Prestice, Kocin and Mirovka in the southwest-east direction. The project consists of building a new AC 400 kV overhead line which connects 420 kV substations Kocin and Mirovka with double circuit line of about 120.5 km length and a nominal transmission capacity of 2 x 2445 A, building a AC 400 kV overhead lines that involves changing of a 400 kV existing single-circuit line to double-circuit line with a nominal capacity of 2 x 2445 A between Kocin and Prestice.","CEPS","CZ","Ten-year investment plan for the development of the TS 2021 – 2030, CZ, 2021, V406/407–New KOC–HBM Line and V432/429–Line Doubling, 128 pg., https://www.ceps.cz/en/transmission-system-development","2029",3,"False","True","MostlyNew","True","2.3.2 and 2.3.3","Project 35 that contains investment items 313 and 315 altogether with Project 200 that contains investment item 308 (item 309 
was already commissioned) forms a geographically continuous (uninterrupted) network corridor from a new 420 kV substation Vernerov (already commissioned at the end of 2017), through a new 420 kV substation Vitkov (which is also already commissioned at the end of 2020), existing 420 kV substation Prestice, existing 420 kV substation Kocin and ending up to the existing substation 420 kV Mirovka. It is actually what is referred as a “convoy lines” or ""sequential projects"" with all 4 involved 400 kV overhead lines (investment 308 (Vernerov-Vitkov), 309 (Vitkov-Prestice), 315 (Prestice-Kocin) and 313 (Kocin-Mirovka)) connected in series forming a corridor from the northern-western part of the Czech grid related to the DE-CZ border into the south and eastern direction towards the CZ-SK and CZ-AT borders.","TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","True","Information about Czech development plan and PCI projects can be found on the following links below on the CEPS website:

https://www.ceps.cz/en/transmission-system-development

https://www.ceps.cz/en/pci-projects-of-common-interest",,,"Czech Republic - Germany - 1000
","Czech Republic - Germany - 1000 - 
Germany -  - 5000 - 10000
","CZ00-DE00","500","500",
40,"Belgium-Luxembourg-Germany: long-term perspective","An increase of transfer capacity across the BE-LU-DE corridor is envisioned towards the 2040 time horizon. Further studies will determine the appropriate implementation option and timing, taking into account the expected evolution on the LU-DE border as presented in project 328

Project motivation:
This project increases the degree of interconnectivity between the Belgian - Luxemburg - German corridor. The possibility of higher market exchanges between bidding zones leads to a higher price convergence in more hours of the year and reduces therefore the price differentials. RES integration implies higher flows in the meshed AC-grid and thus increases the need for cross border transmission capacity. This project satisfies this need in a cost-efficient manner.","Amprion, Creos, Elia","BE ;DE ;LU","NDP1, Belgium, 2024-2034, ID70, 186, NDP2, Luxemburg, 2040, Scenario report 2040 p.43 ( 2nd February 2018)","2040",1,"True","False","New","False",,,"TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","False","More information about the project can be found following this link:
- National Development Plan: https://www.elia.be/-/media/project/elia/elia-site/infra-and-projects/investment-plans/federal-development-plan-2020-2030/nl/20190516_federaal-ontwikkelingsplan_nl.pdf?la=en","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Infrastructure to address system adequacy deficiencies

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","Increase of crossborder capacity between Belgium-Luxembourg-Germany.

Increase of crossborder capacity between Belgium-Luxembourg-Germany.

Contribution of the adequacy of Belgium, Luxembourg and Germany.

Increase of crossborder capacity between Belgium-Luxembourg-Germany leading to also a better integration of RES

","Belgium - Luxemburg - 500
Luxemburg - Germany - 400
","Belgium - Luxemburg - 500 - 
Luxemburg - Germany - 400 - 
Germany -  - 5000 - 10000
Luxemburg -  - <1000
Belgium -  - <1000
","BE00-LUG1","500","500",
47,"Westtirol (AT) - Vöhringen (DE)","This project will increase the current power exchange capacity between Austria and Germany by an upgrade of the existing overhead line Vöhringen (DE) - Westtirol (AT) to 380 kV and the extension of existing and errection of new 380-kV-substations including 380/110-kV-transformers.","Amprion, Austrian Power Grid","AT ;DE","Germany: Netzentwicklungsplan 2035 Version 2021, Project P74, p.457, Austria: APG Netzentwicklungsplan 2021, AT, 2021, 13-2, 48, https://www.apg.at/en/Stromnetz/Netzentwicklung","2030",2,"True","False","Upgrade","False",,,"TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","True","https://www.apg.at/stromnetz/netzausbau/
https://www.netzentwicklungsplan.de/de/projekte/projekte-nep-2035-2021
The project was part of the previous TYNDP 2022, Link to the Website: https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/47","Infrastructure to tackle a Need identified by one of the European ITEG indicators referring to the 15% interconnection target for 2030:
1. Reduce the price differential between EU countries to below 2EUR/MWh.
2. Contribute to pushing ratio between nominal transmission capacity and installed RES capacity past 30%.
3. Contribute to pushing ratio between nominal transmission capacity and peak load past 30%.

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","Increase of Austrian German interconnection level

Better utilization of existing and future pump storage power plants by improved transport capacities.

Connecting German RES power with pump storages in Austria

","Austria - Germany - 3100
","Austria - Germany - 3100 - 
Austria -  - <1000
Germany -  - 5000 - 10000
","AT00-DE00","600","600",
81,"North South Interconnector","A new 400 kV interconnector between Woodland in Ireland and Turleenan in Northern Ireland.","Eirgrid, SONI","GB ;IE","Transmission Development Plan Northern Ireland 2021-2030, Northern Ireland,  page 74: https://www.soni.ltd.uk/media/documents/Transmission-Development-Plan-Northern-Ireland-2021-2030.pdf  •	https://www.eirgridgroup.com/site-files/library/EirGrid/Transmission-Development-Plan-2021-2030.pdf","2029",3,"True","False","New","False",,,"TYNDP 2012
;TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","Project website:
http://www.eirgridgroup.com/the-grid/projects/north-south/the-project/
This circuit will establish a second interconnector between Ireland and Northern Ireland, effectively eliminating the ongoing risk of system separation, thus allowing an increased transfer capacity. The project has received the required consents in both jurisdictions. The project will be implemented by the respective transmission asset owners with an expected completion date of 2025.","Mitigate the risk of power failures

Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

","The second North-South interconnector will enhance electricity supply security across Ireland, strengthen the grid, and support an integrated all-island system. It will benefit nearby communities and boost social and economic growth by increasing grid capacity.

It will transport up to 1,250 MW of electricity, removing a major bottleneck or constraint at the border. Currently, only one interconnector exists, making the system vulnerable to power failures and limiting North-South flows to 300 MW.

The increased capacity will also enable 900MW of constrained or yet to be connected renewable energy on the grid. This is essential to achieve our climate change targets and increase energy independence.

The new interconnector will increase the capacity, and the reliability, of interconnection between the Ireland and Northern Ireland networks. This will allow the two independent networks to operate together as if they were one system for the mutual benefit of residents and businesses in both jurisdictions.

",,,"IE00-UKNI","950","900",
